# source_file=Ens1.csv
# note=stationary-guard: a->0 and v->0 when stationary
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,ax_lin_mps2_used,ay_lin_mps2_used,az_lin_mps2_used,ax_lin_mps2_int,ay_lin_mps2_int,az_lin_mps2_int,gx_rads,gy_rads,gz_rads,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
0.506,202341.0,0.028000000000000025,0.5700728818792009,0.0020939995661170526,-0.012534997402711202,-0.8214958297836172,1.3169857846549233,-0.6217459153974794,-110.4901078290487,-0.008889,0.009935,0.030383,-0.0136396429564139,0.010347797579057842,-0.0016185300827774164,-0.011548647462174166,-0.0060808570903261635,0.000763966054289458,0.0,0.0,0.0,0.010653,0.003196,0.001065,0.18510580442843907,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.531,202366.0,0.025000000000000022,0.5701117733729185,-8.09999678014257e-05,-0.011918995262039418,-0.8214806734504072,1.1168758253318196,-0.7863175184171565,-110.48597415926656,0.026118,0.009221,0.036497,0.006043572816568286,0.010726843616914445,6.44183844595908e-05,0.008071177431496497,-0.005657378108707325,0.0024278462615779186,0.0,0.0,0.0,0.009587,0.004261,0.001065,0.7877922169205559,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.555,202390.0,0.02400000000000002,0.5700841084100549,0.002267000431104178,-0.012365002351390895,-0.8214901562186905,1.312271128277206,-0.5943710421883218,-110.48834104979132,-0.020216,-0.008699,0.035238,-0.008557270783989379,0.0017016214896433297,0.00020387397206993708,-0.006480802072627401,-0.014572724481957702,0.0025480897054300246,0.0,0.0,0.0,0.002131,-0.001065,0.0,0.711095065786228,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.583,202418.0,0.027999999999999914,0.5703489138710467,0.00222599966384959,-0.012335998137128726,-0.8213068759736367,1.3066696052393376,-0.596757139984271,-110.45143258441433,-0.019913,-0.000791,0.029099,-0.016023611572168587,0.001347291164673276,-0.0031111574034999334,-0.013825527171939571,-0.014796894524551787,-0.0007602541255677597,0.0,0.0,0.0,-0.003196,0.0,0.001065,0.28780568907508597,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.603,202438.0,0.020000000000000018,0.5703333039292728,0.0024680013151920817,-0.01490400794231069,-0.8212744376552112,1.5642554267208455,-0.7418115001249499,-110.45410344415839,-0.013427,0.013211,0.032664,-0.015825551387094055,0.007765366573814667,-0.002702538835895181,-0.013542377718162007,-0.008326502159382364,-0.0003494399619284771,0.0,0.0,0.0,0.02024,0.001065,0.0,0.3244800427201335,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.631,202466.0,0.028000000000000025,0.5703771738683856,0.002035000620330351,-0.013016003967675601,-0.821277250350393,1.3581804398787856,-0.6592290555511103,-110.44784468010337,-0.002993,-0.002032,0.029745,-0.009943062064856303,0.0033797533838694615,-0.004057093738014975,-0.007593096034706476,-0.012601268799565024,-0.0016891364438481394,0.0,0.0,0.0,0.04048,0.003196,0.002131,0.2659752200000285,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.653,202488.0,0.02200000000000002,0.5704149102477879,0.0004969999217993051,-0.011295998222625654,-0.8212788707754757,1.0957176356928011,-0.6916032412776406,-110.44319812574516,-0.023543,0.006659,0.045186,-0.017699902331877283,0.0059024397339657066,0.0029954102540396084,-0.015244573374343571,-0.01000940242618514,0.005326553056314958,0.0,0.0,0.0,0.006392,-0.002131,0.001065,0.48634829189714696,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.679,202514.0,0.026000000000000023,0.5711858505026902,0.0004969998699194957,-0.011302997041650019,-0.8207427851857879,1.0957262017422855,-0.6930899052265913,-110.3356030791132,0.014883,0.012814,0.026442,-0.0014769780602235695,0.010576877761600437,-0.003115850955126229,0.0009704243346128822,-0.00529174071478927,-0.0007783504764898465,0.0,0.0,0.0,-0.001065,-0.001065,0.002131,0.6906522192627863,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.703,202538.0,0.02399999999999991,0.5711578381938631,0.0027689992155564783,-0.012276996521988761,-0.8207437674874273,1.3360670333274958,-0.5431106956641193,-110.33800737530717,-0.031244,-0.006446,0.030188,-0.017878960433529174,0.0027856222064907062,-0.003936535990735349,-0.015316077534697166,-0.012985090990391145,-0.0015870692915539658,0.0,0.0,0.0,0.006392,0.004261,0.0,0.7512626035686897,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.729,202564.0,0.026000000000000023,0.5711751664573174,0.0006240001818520874,-0.012136003536789956,-0.8207382391873694,1.1824105311402178,-0.7356571159583462,-110.33727408052313,0.007092,0.006852,0.023236,-0.005716869673310719,0.005942206776378332,-0.0080600721785276,-0.003128433290567193,-0.009748876225880367,-0.005664338365475512,0.0,0.0,0.0,0.022371,0.006392,-0.001065,0.5097218775882723,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.756,202591.0,0.027000000000000024,0.571193977260197,2.899999884548107e-05,-0.009852999607742241,-0.8207559673248849,0.9286885845308025,-0.6422042661827724,-110.3342787678711,0.025709,-0.021865,0.056446,0.010163181187375938,-0.008148658569206534,0.008010839237082588,0.01264436427693082,-0.023639226556154757,0.010319043823015244,0.0,0.0,0.0,0.001065,-0.002131,0.0,0.9779401391477707,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.782,202617.0,0.026000000000000023,0.5717389977422027,0.000142999999435293,-0.010211999959672813,-0.820371996760351,0.9694852741971077,-0.6556253243255712,-110.25822075836831,0.062871,-0.033299,0.036887,0.03712238489353077,-0.02057866597606412,0.00479615609338537,0.039282701343604655,-0.035777002366725145,0.007046801412491176,0.0,0.0,0.0,0.024501,-0.009587,0.004261,1.1329088690055094,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.805,202640.0,0.02300000000000002,0.5717769636618598,-0.0004139999736890605,-0.008404999465837086,-0.8203659478632847,0.7630662403541838,-0.5896317123094265,-110.25263445953594,-0.00547,0.004047,0.032421,0.014610503379319986,-0.007264256740834691,0.001136602510689528,0.01665050886186028,-0.02230145036444821,0.003362948298357731,0.0,0.0,0.0,0.039415,-0.011718,0.002131,1.1563725075861782,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.833,202668.0,0.027999999999999914,0.5717618743341867,-0.0003399999252724446,-0.010772997632235428,-0.8203488196980137,0.9905711718905591,-0.7378190445120241,-110.25538250642376,0.008899,-0.009739,0.042085,0.010259051699428142,-0.007608720574455403,0.004473431829676517,0.012191812398823389,-0.022448447341759496,0.0066413571882775555,0.0,0.0,0.0,-0.003196,-0.003196,0.0,0.1977215468524403,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.855,202690.0,0.02200000000000002,0.5717620100061211,0.0014810000259182412,-0.009515000166517261,-0.8203630143567631,0.9915922391496549,-0.4841961210151556,-110.25411165745858,-0.013095,-0.03404,0.045237,-0.002294562665643731,-0.019696760037093065,0.007355965121184664,-0.0003593185348160751,-0.03429942618865658,0.009458517897039493,0.0,0.0,0.0,0.009587,-0.013848,0.001065,0.7950167390019506,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
0.884,202719.0,0.029000000000000026,0.572132018499889,0.0015210000491815373,-0.00959300031018967,-0.8201040265180641,1.0013274162697408,-0.4859982973129629,-110.20241178264416,-0.002276,-0.011031,0.03072,-0.0035024170535132198,-0.013802004322273,0.0008885413460895516,-0.001553023913980434,-0.02814822274941313,0.0029640894333381415,0.0,0.0,0.0,0.006392,0.001065,-0.002131,0.31118628712604274,0,1,0.0,0.0,0.0,0.0,0.00013514880853175525,-0.000515081508748574,2.958481135466071e-05,0.0005987919844911531
