# source_file=20251214_154520_glider_ble.csv
# total_time_s=12.920000
# distance_path_m=0.000203
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
94.565,94565.0,0.024999999999991473,0.9993914258852502,0.012565005354509063,-0.005902002515106446,-0.03200101363705886,1.4608567478115777,-0.6298443110642921,-3.6760558002896397,-0.190426,-0.064902,0.017744,-0.09780402208135937,-0.05141351913807398,-0.011013129382498387,4.261185055915739,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.589,94589.0,0.02400000000000091,0.9993799309653352,0.013374999076088532,-0.005558999615998216,-0.032092997783096024,1.5524268693711298,-0.5874420135711715,-3.6865631787113275,0.183736,0.02885,0.053799,0.0448868744773747,-0.008749948394930429,0.007810105579401906,6.254885091387203,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.618,94618.0,0.028999999999996362,0.9994142495247862,0.012587003142610052,-0.0050630012640847455,-0.031418007844166415,1.4599689740115316,-0.5345289096199766,-3.6079732633489465,-0.03041,-0.053338,0.015132,0.0006228521284041971,-0.03216378834151759,-0.003868494762617176,1.7730648480568283,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.644,94644.0,0.02600000000001046,0.9994374707110485,0.012407993428889725,-0.004214997767792569,-0.03087098365113271,1.4361547630119964,-0.4388418041678411,-3.5439204424719946,-0.42089,-0.11022,0.056689,-0.2262049373685815,-0.0723023237845461,0.013416751071435388,8.884592727168977,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.661,94661.0,0.016999999999995907,0.9994658454511091,0.011742998184162717,-0.003442999467603869,-0.030302995314202743,1.3570380949982754,-0.35355299652974426,-3.4774464162031262,-0.054942,-0.042658,0.015902,-0.1545058112182382,-0.05841456875080893,0.0024340194095979224,4.344289823087817,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.691,94691.0,0.030000000000001137,0.9994566946930118,0.012313996238407201,-0.0029489990991605356,-0.03042999070446087,1.4207610012209912,-0.29480895370177485,-3.4914935346070584,-0.353143,-0.17946,0.016777,-0.2695921046487615,-0.1256705610454405,-0.005424139737849698,4.450964202694028,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.711,94711.0,0.01999999999999602,0.9994485307755158,0.011418994638971688,-0.002637998761503399,-0.031068985413627407,1.317320479027202,-0.2614721922434128,-3.564067112356126,-0.102045,-0.18152,0.062654,-0.19290045859020927,-0.1504887450298258,0.0132584979647244,4.13720672162433,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.737,94737.0,0.02599999999999625,0.9994208297566716,0.010706998176148673,-0.003462999410105805,-0.03211499452946807,1.2390858805387983,-0.3572000806983842,-3.6848359216749116,0.121817,-0.133833,0.046092,-0.026962675539987158,-0.1401001623222279,0.01575349444566067,6.395437480322096,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.76,94760.0,0.023000000000010346,0.9994069987592362,0.011154999986151068,-0.0026049999967658927,-0.03247199995968601,1.287325312841946,-0.25682690784469525,-3.72480095334661,-0.420462,0.266665,0.02994,-0.226692177464496,0.06587134443827178,0.008728148685588067,12.477995075125385,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
94.786,94786.0,0.02599999999999625,0.9993853140408941,0.011689003673082957,-0.0023250007305943943,-0.03296901035998563,1.3475559452211872,-0.2221015380268075,-3.7815354877896055,-0.261073,0.05929,0.015925,-0.2469920217780995,0.0638633596365011,-0.0024535449289202083,0.8947132314782266,0,1,0.0,0.0,0.0,0.0,0.00017237476932984225,-7.925295779037696e-05,1.931375493788176e-05,0.00020317118242278202
