# source_file=Excelente.csv
# total_time_s=12.789000
# distance_path_m=0.084619
# lpf_cutoff_hz=10.0
# zupt_alin_tol=0.35
# zupt_w_tol=0.15
# zupt_win_s=0.5
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_raw,ay_lin_mps2_raw,az_lin_mps2_raw,ax_lin_mps2_bias,ay_lin_mps2_bias,az_lin_mps2_bias,ax_lin_mps2_f,ay_lin_mps2_f,az_lin_mps2_f,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
947.53,947530.0,0.01999999999998181,0.077964,0.004186,-0.057035,0.995315,-6.482493063698265,-0.9870334035762683,171.09812714422822,0.000529,-0.002218,19.662638,0.0010392168674698793,-0.003404493975903614,-0.0021468313252981375,-0.0022175986519561595,-0.00022686917463209328,-0.0009037887974940445,0,-7.475755859042685e-05,0.0014567340435758906,-0.0004356514679353454,0.001522318944174836,0.00011020439541662311,0.0005485294795742668,-0.0004376252955794342,0.0007122729980988162
947.558,947558.0,0.02800000000002001,0.077988,0.00417,-0.057042,0.995312,-6.483406229515318,-0.9854262716704555,171.09525711954066,-0.005057,-0.005677,19.667074,-0.00454678313253012,-0.006863493975903614,0.0022891686747001927,-0.003702659141015502,-0.004458302689357801,0.0011320031394477608,0,-0.0001368503208452437,0.0014503817066861874,-0.00046095755426519674,0.0015280107893073057,0.00010637258643295355,0.000589140167361509,-0.00045053210709886896,0.000754897928535742
947.577,947577.0,0.019000000000005457,0.078018,0.004525,-0.056124,0.995361,-6.375197941001843,-1.0179349318478754,171.09315332194583,0.002237,0.004944,19.665079,0.002747216867469879,0.0037575060240963853,0.0002941686746993355,-0.00019282356268933388,1.2502282593158248e-05,0.0006760779078226589,0,-0.00020720084452455846,0.001365673955588365,-0.0004394494946156831,0.0014495217836452273,0.00010243577038698582,0.0006150879725176954,-0.00045888164749656934,0.0007839301335325891
947.596,947596.0,0.019000000000005457,0.077964,0.003716,-0.05672,0.995335,-6.450581000101103,-0.9306140948761966,171.09485345796688,-0.003041,-0.001606,19.667948,-0.0025307831325301205,-0.002792493975903614,0.00316316867469979,-0.0014650733963481224,-0.0015138953802753513,0.0020294806164371706,0,-0.00021086449221565686,0.001365911498957635,-0.0004266040143670489,0.0014464332138526624,9.842934503488719e-05,0.0006410402909978979,-0.0004669871237695456,0.0008114710474218564
947.618,947618.0,0.022000000000048203,0.078004,0.004398,-0.056004,0.995369,-6.362594250061513,-1.0022882453417616,171.09383751743678,0.004272,0.003989,19.668301,0.0047822168674698795,0.002802506024096386,0.003516168674700282,0.002159840067349255,0.000990643532547157,0.002892113106867114,0,-0.00024309610693538616,0.0013326058005915043,-0.00038195544080533333,0.0014074174561010892,9.308123068229698e-05,0.0006703576186109753,-0.0004753901434672813,0.0008432925781266847
947.643,947643.0,0.024999999999977263,0.078029,0.004381,-0.056016,0.995367,-6.364095742290663,-1.0006156879767385,171.0908889806851,0.000768,0.006424,19.671009,0.0012782168674698793,0.005237506024096386,0.006224168674702213,0.001621154653202216,0.0035855422153390024,0.004928050606885015,0,-0.00018910010525170388,0.0013573718889051606,-0.00030965261313372125,0.0014050274144715865,8.835372805100868e-05,0.0007042919158335734,-0.0004831314587956173,0.00087847801452918
947.67,947670.0,0.02699999999992997,0.078038,0.00457,-0.056991,0.99531,-6.474004281947596,-1.0309247697118324,171.0920232236675,0.000989,-0.010072,19.668936,0.0014992168674698796,-0.011258493975903613,0.004151168674699335,0.0015444383001048936,-0.005753485182915704,0.004439280466714414,0,-0.00014532892961535758,0.0014541815287190626,-0.00017659524674817095,0.0014720564858132662,8.44298469514042e-05,0.0007435548171088862,-0.0004878995304578056,0.0009164137547198145
947.694,947694.0,0.02400000000000091,0.078006,0.003775,-0.056375,0.995351,-6.410539388990832,-0.9345399871430757,171.09008316924738,-0.000875,0.000469,19.66501,-0.0003647831325301206,-0.0007174939759036143,0.00022516867469946078,0.0003964802157503716,-0.002725493395263806,0.0019054603359919997,0,-0.00010826241041283872,0.0013160978843290805,-7.005251554702098e-05,0.0013223999945471661,8.183154910149597e-05,0.0007751411663327854,-0.0004895807908309341,0.0009517431103793342
947.714,947714.0,0.020000000000095497,0.078046,0.00455,-0.056995,0.995309,-6.474628299488016,-1.0287308306013334,171.09097625399423,0.003898,-0.003938,19.66362,0.004408216867469879,-0.005124493975903614,-0.001164831325297655,0.002630466816180666,-0.00406140739382518,0.00019572935756547176,0,-0.00010033280609779343,0.001261588016423544,-3.194330882699902e-05,0.0012659744745222026,7.982489297953052e-05,0.0008003729266613767,-0.0004902196570074771,0.0009781911102704037
947.739,947739.0,0.024999999999977263,0.078026,0.004542,-0.057001,0.99531,-6.475404206186113,-1.0277417835404004,171.09322027335625,0.009003,-0.001656,19.667507,0.00951321686746988,-0.002842493975903614,0.0027221686747012086,0.006835933576080551,-0.003316632438456152,0.0017394228652395378,0,-3.457113569333659e-05,0.001160052831578007,-2.7050074887866674e-05,0.0011608830440775323,7.896061458719788e-05,0.0008293742474508005,-0.0004908959088796732,0.00100984047213343
