# source_file=20251214_180907_glider_ble.csv
# note=ZUPT + bias tracking; rotate accel to world if ACCEL_IN_BODY_FRAME
t_imu_s,t_imu_ms,dt_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg_unwrapped,ax_lin_mps2_body,ay_lin_mps2_body,az_lin_mps2_body,ax_lin_mps2_world_raw,ay_lin_mps2_world_raw,az_lin_mps2_world_raw,ax_lin_mps2_clean,ay_lin_mps2_clean,az_lin_mps2_clean,jerk_mag,jerk_isolated,stationary,vx_mps,vy_mps,vz_mps,speed_mps,x_m,y_m,z_m,dist_m
2840.251,2840251.0,0.026000000000294676,-0.9498355102929573,-0.012096993763148486,0.01716999114766136,0.31204383911944333,1.931604951063572,-1.436426735274739,-36.397411071953016,0.009115,-0.04646,0.024042,-0.02115243576620137,-0.04310050639005663,0.022683769507676914,-2.042262265854665,1.0717058669428048,0.5135762123941255,0.943451427279467,0,0,-45.37047095172155,23.46872423886856,0.0,51.08092258153787,-560.8231993084974,292.0652023102386,0.0,632.7198940821958
2840.27,2840270.0,0.018999999999778083,-0.9498715267185558,-0.009537995247613978,0.017279991390099555,0.3120168445349938,1.6568513319229417,-1.5400389124794251,-36.39123662579681,0.004349,0.019799,0.031931,0.013990709816273596,0.01312678242897292,0.03259525402415562,-2.027094100704627,1.087575027664593,0.5178824125740435,1.1774036604306755,0,0,-45.40595379356835,23.486249108314244,0.0,51.120490383812395,-561.6855753435675,292.51127455703164,0.0,633.6904316112336
2840.301,2840301.0,0.03099999999994907,-0.949855998443186,-0.011701999980820423,0.016226999973403943,0.31204699948855497,1.8547911906529113,-1.3479203732514635,-36.39462618771735,-0.003227,0.00943,0.006652,0.002736024966246312,0.009424634803551577,0.0068758969744871215,-2.02311566222986,1.0963943723491503,0.5060179057725879,0.49384909140681943,0,0,-45.46337663819932,23.515334260339866,0.0,51.184856751995326,-563.0940499652576,293.2397990992446,0.0,635.2751668131292
2840.326,2840326.0,0.02500000000009095,-0.9498144200954124,-0.014056006216860477,0.017130007576466984,0.3120281380075797,2.1434681164450877,-1.3619869235910105,-36.39771973921195,-0.025495,-0.032053,0.027254,-0.04062508425494467,-0.01111111735167443,0.02542274474709539,-2.044296131518037,1.0890271701569505,0.511173836948267,0.9204099727340187,0,0,-45.50958592290784,23.539010511719702,0.0,51.2367780675696,-564.2312119972755,293.8279784088975,0.0,636.5547882319338
2840.352,2840352.0,0.02599999999983993,-0.9503797300917198,-0.013025996300611064,0.016930995191589585,0.31035791185821043,2.0217496437786484,-1.3807503476586362,-36.194506078005325,-0.001217,-0.034276,0.026401,-0.022249781693560466,-0.027319048945445474,0.025138712085253218,-2.044769553863729,1.0768061211997357,0.5135238590773273,0.4789979221042745,0,0,-45.558194271205714,23.563442265897496,0.0,51.291177376535295,-565.4150931397917,294.44031029500275,0.0,637.8869444616824
2840.4,2840400.0,0.04800000000022919,-0.9504698777429684,-0.008539998901517092,0.015429998015270341,0.3103159600846812,1.4794170074159068,-1.3770246695873407,-36.18014356582811,0.011311,0.011531,0.010168,0.015574076085351066,0.002565595839656782,0.01073111262056418,-2.019384140065082,1.0898331484207726,0.5051417165243309,0.6195536958125646,0,0,-45.64795548464459,23.607960432491655,0.0,51.39135759746171,-567.6040407339425,295.5724239597695,0.0,640.3489209757679
2840.42,2840420.0,0.01999999999998181,-0.9504434367027222,-0.010559004851573472,0.015742007233021077,0.31031914258314497,1.710516986544168,-1.3391502002916382,-36.18364313428842,0.009453,0.015031,0.030322,0.01538316010701456,0.006241087068863672,0.030969679871138783,-2.0138462262242762,1.0944409624557982,0.5127549663655503,0.5240754073475302,0,0,-45.68484828196794,23.62677020911687,0.0,51.432768086705586,-568.5173687716078,296.04477126618514,0.0,641.3767481277162
2840.451,2840451.0,0.03099999999994907,-0.9509082561476178,-0.008791002368045813,0.015206004096064684,0.3089740832288235,1.4968851044294358,-1.3458094330602495,-36.01815533226734,0.072525,0.074462,0.009094,0.10206673163995102,0.017530923167506304,0.012736362519699743,-1.9602074684342816,1.1039758546301055,0.5072292752418938,1.7664239754999076,0,0,-45.74186044249002,23.656068205121016,0.0,51.496867474299556,-569.9344827568347,296.7776552616046,0.0,642.9711639384014
2840.473,2840473.0,0.021999999999934516,-0.950866233134838,-0.010712002626385194,0.016729004101642825,0.30896407575228485,1.7603137142313126,-1.4437108935274419,-36.02315170401134,-0.006024,-0.002867,0.012281,-0.007026067543854339,0.0010994533728201595,0.012031492141467369,-1.994509544759241,1.0993344047743074,0.5048896363067902,1.5769841282479504,0,0,-45.78114063276975,23.677070098945315,0.0,51.541405550370975,-570.9412357686596,297.2983197829478,0.0,644.1040950228327
2840.498,2840498.0,0.02500000000009095,-0.9509154240801496,-0.008919994597624749,0.014887990983120769,0.30896381287674135,1.4996491275796238,-1.306601944667585,-36.01630127330149,0.018053,0.010918,0.019789,0.02034146100780834,-0.0019345082137060346,0.02047439122511136,-1.9987425620323929,1.0952333548486137,0.5080449545223614,0.2674115293521226,0,0,-45.826634764541495,23.70081985113578,0.0,51.59272541220007,-572.0863329611301,297.89054340732594,0.0,645.3926301615967
