raw_line
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"121600,0.657651,-0.055606,-0.073662,0.747647,0.015991,-0.182373,0.986816,0.005326,0.004261,0.000000,-32.000000,-27.000000,9.000000"
"121628,0.657690,-0.055135,-0.074542,0.747561,0.015503,-0.184570,0.986816,-0.008522,0.002131,0.000000,0.000000,0.000000,0.000000"
"121653,0.657719,-0.054917,-0.073584,0.747646,0.014282,-0.182373,0.989014,-0.001065,0.002131,0.000000,0.000000,0.000000,0.000000"
"121678,0.657689,-0.055204,-0.074518,0.747559,0.015747,-0.184937,0.985718,-0.001065,0.004261,0.000000,0.000000,0.000000,0.000000"
"121704,0.657237,-0.055243,-0.074283,0.747977,0.016846,-0.183838,0.988281,0.002131,0.004261,0.000000,-33.000000,-26.000000,12.000000"
"121726,0.657166,-0.056028,-0.074925,0.747917,0.014771,-0.186401,0.986572,-0.006392,0.004261,-0.001065,0.000000,0.000000,0.000000"
"121751,0.657242,-0.055278,-0.074339,0.747964,0.015625,-0.181885,0.986938,-0.005326,0.002131,0.000000,0.000000,0.000000,0.000000"
"121769,0.657320,-0.054410,-0.074821,0.747912,0.016724,-0.184204,0.986206,0.007457,0.002131,0.000000,0.000000,0.000000,0.000000"
"121798,0.656865,-0.054477,-0.074617,0.748326,0.014648,-0.185059,0.986816,-0.005326,0.003196,0.000000,-33.000000,-26.000000,12.000000"
"121818,0.656788,-0.055417,-0.074249,0.748362,0.014771,-0.184448,0.985718,0.002131,0.004261,-0.001065,0.000000,0.000000,0.000000"
"121843,0.656874,-0.054474,-0.074211,0.748359,0.016113,-0.182983,0.985840,-0.009587,0.003196,0.001065,0.000000,0.000000,0.000000"
"121868,0.656789,-0.055394,-0.074446,0.748343,0.015259,-0.184692,0.987305,0.010653,0.003196,0.000000,0.000000,0.000000,0.000000"
"121890,0.656345,-0.055475,-0.074261,0.748744,0.015747,-0.187256,0.984009,-0.008522,0.003196,0.000000,-34.000000,-29.000000,13.000000"
