mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.006,0.018000000000000002,0.675,0.024,0.012723450247038663,9.945647205520245
0.1,0.006,0.018000000000000002,0.7,0.024,0.013194689145077132,9.766431675990548
0.1,0.006,0.018000000000000002,0.725,0.024,0.0136659280431156,9.596567732501468
0.1,0.006,0.018000000000000002,0.75,0.024,0.01413716694115407,9.435269392179823
0.1,0.006,0.018000000000000002,0.775,0.024,0.014608405839192538,9.281840152459623
0.1,0.006,0.018000000000000002,0.8,0.024,0.015079644737231007,9.135660305723258
0.1,0.006,0.018000000000000002,0.825,0.024,0.015550883635269476,8.99617638489746
0.1,0.006,0.018000000000000002,0.8500000000000001,0.024,0.016022122533307946,8.862892329472828
0.1,0.006,0.018000000000000002,0.875,0.024,0.016493361431346415,8.735362050048824
0.1,0.006,0.018000000000000002,0.9,0.024,0.016964600329384884,8.613183137058245
0.1,0.006,0.018000000000000002,0.925,0.024,0.017435839227423353,8.495991511247736
0.1,0.006,0.018000000000000002,0.95,0.024,0.01790707812546182,8.383456853718647
0.1,0.006,0.018000000000000002,0.9750000000000001,0.024,0.018378317023500294,8.275278684733474
0.1,0.006,0.018000000000000002,1.0,0.024,0.01884955592153876,8.171182985177486
0.1,0.006,0.018000000000000002,1.025,0.024,0.019320794819577224,8.07091927409935
0.1,0.006,0.018000000000000002,1.05,0.024,0.019792033717615697,7.974258071310522
0.1,0.006,0.018000000000000002,1.0750000000000002,0.024,0.02026327261565417,7.880988686485687
0.1,0.006,0.018000000000000002,1.1,0.024,0.020734511513692638,7.790917286246854
0.1,0.006,0.018000000000000002,1.125,0.024,0.021205750411731103,7.70386519884685
0.1,0.006,0.018000000000000002,1.15,0.024,0.021676989309769572,7.619667422689447
0.1,0.006,0.018000000000000002,1.175,0.024,0.02214822820780804,7.538171310340859
0.1,0.006,0.018000000000000002,1.2000000000000002,0.024,0.022619467105846513,7.459235404140184
0.1,0.006,0.018000000000000002,1.225,0.024,0.02309070600388498,7.382728403192782
0.1,0.006,0.018000000000000002,1.25,0.024,0.02356194490192345,7.308528244578606
0.1,0.006,0.018000000000000002,1.275,0.024,0.024033183799961916,7.236521284145135
0.1,0.006,0.018000000000000002,1.3,0.024,0.024504422698000388,7.166601564375064
0.1,0.006,0.018000000000000002,1.3250000000000002,0.024,0.024975661596038857,7.098670158597954
0.1,0.006,0.018000000000000002,1.35,0.024,0.025446900494077326,7.032634582312403
0.1,0.006,0.018000000000000002,1.375,0.024,0.02591813939211579,6.968408263650462
0.1,0.006,0.018000000000000002,1.4,0.024,0.026389378290154263,6.905910066088015
0.1,0.006,0.018000000000000002,1.425,0.024,0.026860617188192736,6.845063857416387
0.1,0.006,0.018000000000000002,1.4500000000000002,0.024,0.027331856086231204,6.785798119767798
0.1,0.006,0.018000000000000002,1.475,0.024,0.027803094984269673,6.728045596152054
0.1,0.006,0.018000000000000002,1.5,0.024,0.02827433388230814,6.671742969532228
0.1,0.006500000000000001,0.019500000000000003,0.5,0.026000000000000002,0.01021017612416683,11.102451403091457
0.1,0.006500000000000001,0.019500000000000003,0.525,0.026000000000000002,0.01072068493037517,10.834883134184498
0.1,0.006500000000000001,0.019500000000000003,0.55,0.026000000000000002,0.011231193736583513,10.58577206176494
0.1,0.006500000000000001,0.019500000000000003,0.575,0.026000000000000002,0.011741702542791851,10.353089316637204
0.1,0.006500000000000001,0.019500000000000003,0.6,0.026000000000000002,0.012252211349000194,10.135105128463456
0.1,0.006500000000000001,0.019500000000000003,0.625,0.026000000000000002,0.012762720155208535,9.930334421680168
0.1,0.006500000000000001,0.019500000000000003,0.65,0.026000000000000002,0.013273228961416876,9.737494037047943
0.1,0.006500000000000001,0.019500000000000003,0.675,0.026000000000000002,0.01378373776762522,9.555468752500085
0.1,0.006500000000000001,0.019500000000000003,0.7,0.026000000000000002,0.01429424657383356,9.383284041239335
0.1,0.006500000000000001,0.019500000000000003,0.725,0.026000000000000002,0.014804755380041902,9.220084043225587
