mass_kg,chord_m,span_m,wing_area_m2,AR,K,Vmin_theo_m_s,sink_rate_m_s,CL_at_Vmin,CD_at_Vmin,glide_at_Vmin,CL_ms,CD_ms,sink_min_m_s,Vstall_m_s,Re_root_at_Vmin
0.1,0.059,1.5,0.06950773746067417,32.37049690004651,0.013111111111111112,2.965610619945373,0.13582942696698963,2.620001293828119,0.12000000000000001,21.833344115234322,2.620001293828119,0.12000000000000001,0.13582942696698963,3.6615489348954764,11841.961743455904
0.1,0.06249999999999999,0.2,0.009817477042468102,4.074366543152522,0.10416666666666666,13.248084038252971,1.7103202949770022,0.9295160030897804,0.12000000000000006,7.745966692414833,0.92951600308978,0.11999999999999998,1.7103202949770018,9.742748044912695,56039.02951263773
0.1,0.06249999999999999,0.2325,0.01141281706186917,4.7364511064148065,0.08960573476702506,11.833367524819073,1.4168903655259724,1.002197585309404,0.11999999999999998,8.351646544245035,1.002197585309404,0.11999999999999998,1.4168903655259724,9.036182440034702,50054.81774137902
0.1,0.06249999999999999,0.265,0.013008157081270236,5.398535669677091,0.07861635220125784,10.727318262968792,1.203116273991187,1.0699532700076204,0.11999999999999997,8.916277250063507,1.0699532700076206,0.12,1.203116273991187,8.463958637888473,45376.259917599345
0.1,0.06249999999999999,0.2975,0.014603497100671301,6.0606202329393755,0.0700280112044818,9.835814818463996,1.0411330454895102,1.1336666176614714,0.12000000000000005,9.447221813845593,1.133666617661471,0.11999999999999998,1.0411330454895102,7.988274578022618,41605.22497451103
0.1,0.06249999999999999,0.33,0.01619883712007237,6.72270479620166,0.06313131313131312,9.099973260897542,0.9145817245049713,1.1939849245279441,0.12000000000000001,9.9498743710662,1.1939849245279441,0.12000000000000001,0.9145817245049712,7.584719066196274,38492.63551311978
0.1,0.06249999999999999,0.36250000000000004,0.017794177139473438,7.384789359463946,0.05747126436781607,8.480951174178536,0.813260969941597,1.2513992168768533,0.12000000000000005,10.428326807307107,1.2513992168768528,0.12,0.813260969941597,7.236731571895494,35874.18918635603
0.1,0.06249999999999999,0.395,0.019389517158874502,8.04687392272623,0.05274261603375527,7.952025231504309,0.730497231285275,1.3062924634246345,0.11999999999999998,10.885770528538623,1.3062924634246345,0.11999999999999998,0.7304972312852751,6.932628393243806,33636.84706005794
0.1,0.06249999999999999,0.4275,0.020984857178275567,8.708958485988514,0.048732943469785565,7.494168986710689,0.6617512874807773,1.3589701983487352,0.12000000000000001,11.324751652906125,1.358970198348735,0.12,0.6617512874807773,6.663899055933589,31700.127792543484
0.1,0.06249999999999999,0.46,0.022580197197676635,9.3710430492508,0.045289855072463754,7.0934448632808955,0.6038341265444961,1.4096808149364883,0.12000000000000005,11.74734012447073,1.409680814936488,0.12,0.603834126544496,6.424177818030411,30005.075820162623
0.1,0.06249999999999999,0.4925,0.0241755372170777,10.033127612513084,0.04230118443316412,6.739394745640621,0.5544433133631604,1.458629493737187,0.1200000000000001,12.155245781143217,1.4586294937371862,0.12,0.5544433133631602,6.208595301755033,28507.453602934256
0.1,0.06249999999999999,0.525,0.025770877236478768,10.695212175775369,0.03968253968253967,6.424008302465166,0.5118772339805361,1.5059880477613368,0.12000000000000008,12.54990039801113,1.505988047761336,0.11999999999999998,0.5118772339805359,6.0133546446666015,27173.377660634767
0.1,0.06249999999999999,0.5575000000000001,0.02736621725587984,11.357296739037656,0.0373692077727952,6.14103987458207,0.4748526369867343,1.5519020587653078,0.12,12.932517156377566,1.5519020587653078,0.12,0.4748526369867343,5.835445716866306,25976.42902749667
