raw_line
=== RAM LOG DUMP BEGIN ===
"t_ms,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,mx,my,mz"
"123065,0.799851,-0.377455,0.183863,0.428905,-0.268799,-0.101929,0.906494,-0.394148,0.334493,0.481499,0.000000,0.000000,0.000000"
"123095,0.801031,-0.379634,0.180982,0.425996,-0.277588,-0.153442,1.035522,-0.528371,-0.002131,-0.895887,-19.000000,-8.000000,40.000000"
"123120,0.803956,-0.380164,0.176801,0.421747,-0.213623,0.028687,1.077271,-0.168312,-0.301470,-1.288970,0.000000,0.000000,0.000000"
"123142,0.808842,-0.377357,0.172268,0.416773,-0.171997,-0.006836,0.897095,0.513457,-0.651942,-1.475391,0.000000,0.000000,0.000000"
"123168,0.813755,-0.373637,0.169119,0.411821,-0.164429,-0.093994,0.768555,0.781904,-0.499609,-1.326254,0.000000,0.000000,0.000000"
"123190,0.815124,-0.374074,0.168843,0.408819,-0.109741,0.000977,0.785156,-0.011718,0.273773,-0.660464,-23.000000,-21.000000,45.000000"
"123216,0.815640,-0.373957,0.169392,0.407670,-0.017212,0.182129,0.949707,0.035154,0.249272,-0.205596,0.000000,0.000000,0.000000"
"123236,0.816037,-0.372135,0.170588,0.408043,-0.039185,0.130737,0.884155,0.305731,0.107592,0.159790,0.000000,0.000000,0.000000"
"123259,0.817329,-0.369542,0.171758,0.407322,-0.074585,0.010132,0.795166,0.537959,0.099070,-0.058590,0.000000,0.000000,0.000000"
"123284,0.818978,-0.367861,0.172708,0.405122,-0.049927,-0.143311,0.819458,0.467651,0.251402,-0.348341,0.000000,0.000000,0.000000"
"123310,0.819663,-0.368371,0.173799,0.402800,-0.019165,-0.208130,0.744019,0.026632,0.485761,-0.369647,-23.000000,-10.000000,41.000000"
"123335,0.821263,-0.369832,0.176398,0.397032,0.038208,-0.257446,0.783325,0.233293,1.050351,-0.885235,0.000000,0.000000,0.000000"
"123360,0.823087,-0.372526,0.179125,0.389445,0.179687,-0.044067,1.163696,0.096939,1.281513,-1.266599,0.000000,0.000000,0.000000"
"123383,0.824281,-0.374012,0.180634,0.384770,0.303711,0.316284,1.335083,0.036219,0.777643,-0.807470,0.000000,0.000000,0.000000"
