t_ms,qw,qx,qy,qz,ax_mps2,ay_mps2,az_mps2,gx_deg,gy_deg,gz_deg,roll_deg,pitch_deg,yaw_deg,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
105639,0.849272,-0.062044,0.056307,0.521265,-0.859812,-0.783171,9.786050,-0.122070,0.122070,0.061035,-2.710813,9.225682,62.862617,0.712963,-0.325209,0.113781
105717,0.848856,-0.062136,0.056858,0.521872,-0.861010,-0.779579,9.788445,0.000000,0.122070,0.061035,-2.679923,9.287156,62.948219,0.722154,-0.326911,0.117623
105785,0.848441,-0.062241,0.057387,0.522476,-0.864602,-0.779579,9.790840,-0.244141,0.000000,0.000000,-2.651603,9.347261,63.033329,0.728717,-0.331768,0.121457
105867,0.848525,-0.062125,0.056406,0.522459,-0.857417,-0.787961,9.799223,-0.122070,0.061035,-0.061035,-2.699758,9.244013,63.025112,0.718456,-0.331889,0.127370
105939,0.848114,-0.062242,0.056954,0.523053,-0.855022,-0.805924,9.806408,-0.061035,0.183105,0.000000,-2.671580,9.306654,63.108803,0.731436,-0.354689,0.136059
105998,0.847687,-0.062327,0.057475,0.523678,-0.874182,-0.787961,9.795630,0.061035,0.122070,0.061035,-2.641465,9.364817,63.196953,0.722102,-0.341884,0.126659
106058,0.847768,-0.062205,0.056498,0.523668,-0.863405,-0.771196,9.780063,-0.183105,0.122070,0.000000,-2.688772,9.261642,63.189529,0.715447,-0.317002,0.108607
106130,0.847325,-0.062305,0.056924,0.524326,-0.853824,-0.791554,9.788445,-0.183105,0.122070,-0.061035,-2.665543,9.311516,63.281422,0.733455,-0.341344,0.118182
106213,0.846920,-0.062426,0.057482,0.524905,-0.866997,-0.796344,9.787248,-0.061035,0.061035,0.061035,-2.637106,9.375301,63.363400,0.731058,-0.351016,0.118534
106271,0.847002,-0.062308,0.056513,0.524892,-0.864602,-0.783171,9.795630,-0.061035,0.183105,0.000000,-2.684462,9.273268,63.355743,0.716214,-0.329719,0.124460
106343,0.846590,-0.062428,0.057037,0.525486,-0.864602,-0.783171,9.788445,-0.122070,0.061035,0.000000,-2.657836,9.333731,63.439507,0.726431,-0.334291,0.118741
106421,0.846149,-0.062543,0.057479,0.526134,-0.862207,-0.791554,9.796828,-0.183105,0.122070,0.061035,-2.634975,9.385920,63.530186,0.737642,-0.346599,0.128394
106505,0.845728,-0.062649,0.057999,0.526740,-0.864602,-0.802332,9.794433,0.000000,0.122070,0.000000,-2.606961,9.445088,63.615864,0.745241,-0.362179,0.127439
106569,0.845813,-0.062534,0.057027,0.526723,-0.874182,-0.778381,9.783655,-0.122070,0.183105,-0.061035,-2.655114,9.343078,63.607517,0.718430,-0.329972,0.114187
106620,0.845402,-0.062637,0.057585,0.527310,-0.856220,-0.777184,9.795630,-0.061035,0.122070,0.000000,-2.624571,9.405670,63.690861,0.746966,-0.334010,0.127667
106715,0.844983,-0.062740,0.058119,0.527911,-0.865800,-0.787961,9.792038,-0.061035,0.122070,0.000000,-2.595275,9.465940,63.776073,0.747566,-0.349807,0.125539
