t_imu_ms,pc_timestamp_iso,pc_timestamp_s,qw,qx,qy,qz,ax_lin_mps2,ay_lin_mps2,az_lin_mps2
139433.0,2025-12-11T18:03:19.282177,3.453366,0.860058,-0.000661,0.000523,0.510196,0.592648,-0.067131,0.882577
139461.0,2025-12-11T18:03:19.283180,3.454368,0.859979,0.001130,-0.000146,0.510328,0.367031,0.036290,-0.016742
139489.0,2025-12-11T18:03:19.342590,3.513778,0.859680,0.002152,0.000546,0.510828,0.628312,-0.175890,0.172540
139518.0,2025-12-11T18:03:19.343482,3.514670,0.860174,0.003449,-0.001005,0.509988,0.722115,-0.297237,0.502009
139543.0,2025-12-11T18:03:19.403326,3.574515,0.860574,0.005602,-0.002520,0.509289,0.199650,0.093452,-0.069913
139570.0,2025-12-11T18:03:19.403326,3.574515,0.860759,0.005625,-0.002623,0.508975,-0.077716,-0.093960,-0.553693
139597.0,2025-12-11T18:03:19.404252,3.575440,0.860378,0.006555,-0.002487,0.509608,0.135568,-0.036690,0.035693
139622.0,2025-12-11T18:03:19.522384,3.693573,0.860292,0.006718,-0.002440,0.509751,-0.050894,-0.048276,-0.202575
139644.0,2025-12-11T18:03:19.522384,3.693573,0.860379,0.007065,-0.002697,0.509598,0.022745,-0.324610,-0.160544
139670.0,2025-12-11T18:03:19.523396,3.694584,0.860506,0.007906,-0.003043,0.509369,0.057629,-0.131813,0.306773
139696.0,2025-12-11T18:03:19.525454,3.696642,0.860197,0.008896,-0.001754,0.509882,-0.171299,-0.082300,-0.084606
139749.0,2025-12-11T18:03:19.583632,3.754821,0.859971,0.009367,-0.001895,0.510253,0.055082,-0.533064,-0.004198
139778.0,2025-12-11T18:03:19.583632,3.754821,0.859580,0.010279,-0.000902,0.510897,-0.224832,-0.523571,-0.649354
139804.0,2025-12-11T18:03:19.702300,3.873488,0.859586,0.010537,0.000118,0.510882,-0.192245,-0.576472,-0.583405
139829.0,2025-12-11T18:03:19.702300,3.873488,0.859434,0.010197,-0.000235,0.511144,0.099744,-0.670133,0.031978
139849.0,2025-12-11T18:03:19.703541,3.874730,0.859251,0.009725,-0.001759,0.511459,0.044006,-0.700753,-0.362128
139879.0,2025-12-11T18:03:19.704624,3.875813,0.858938,0.009811,-0.001476,0.511984,-0.195282,-0.562447,-1.299760
139904.0,2025-12-11T18:03:19.705560,3.876748,0.859012,0.009934,0.000102,0.511860,-0.333953,-0.255868,-1.341669
139932.0,2025-12-11T18:03:19.762718,3.933906,0.858971,0.009942,0.001434,0.511926,-0.240951,-0.493305,-1.211100
139958.0,2025-12-11T18:03:19.762718,3.933906,0.858909,0.009896,0.001329,0.512030,0.139723,-0.944126,-0.801574
139984.0,2025-12-11T18:03:19.823395,3.994584,0.858544,0.009847,0.001619,0.512643,0.037200,-0.944956,-1.150050
140010.0,2025-12-11T18:03:19.823395,3.994584,0.858595,0.009115,0.001322,0.512572,-0.111310,-0.958392,-1.310807
140035.0,2025-12-11T18:03:19.885190,4.056379,0.858563,0.008099,0.000580,0.512644,0.121098,-0.952978,-0.742360
140060.0,2025-12-11T18:03:19.886172,4.057360,0.858455,0.006839,-0.001409,0.512842,0.319402,-1.166796,-0.624145
140086.0,2025-12-11T18:03:19.943785,4.114974,0.858162,0.005776,-0.002707,0.513340,0.005214,-0.942970,-1.239823
140110.0,2025-12-11T18:03:19.943785,4.114974,0.858449,0.004495,-0.003550,0.512867,-0.137362,-0.526179,-1.196868
140135.0,2025-12-11T18:03:19.944780,4.115969,0.858743,0.003167,-0.004202,0.512380,-0.103835,-0.332058,-0.985009
140161.0,2025-12-11T18:03:20.002533,4.173722,0.859073,0.001897,-0.005193,0.511823,-0.063473,-0.456442,-0.883164
140186.0,2025-12-11T18:03:20.003430,4.174619,0.859084,0.001067,-0.005624,0.511802,-0.361777,-0.209387,-1.097475
140210.0,2025-12-11T18:03:20.062201,4.233389,0.859320,-0.000513,-0.005594,0.511408,-0.387337,-0.141189,-1.099894
140235.0,2025-12-11T18:03:20.063083,4.234272,0.859602,-0.002479,-0.005802,0.510925,-0.161627,-0.405377,-0.971597
140256.0,2025-12-11T18:03:20.064078,4.235267,0.860010,-0.004684,-0.006943,0.510208,0.087808,-0.368788,-0.120770
140287.0,2025-12-11T18:03:20.123726,4.294914,0.860114,-0.006315,-0.008007,0.510000,0.062192,-0.147427,0.333752
140308.0,2025-12-11T18:03:20.124615,4.295804,0.860561,-0.007831,-0.008162,0.509223,-0.376907,0.387412,0.020472
140330.0,2025-12-11T18:03:20.182265,4.353454,0.860937,-0.009396,-0.007115,0.508576,-0.428791,0.388981,0.286533
140353.0,2025-12-11T18:03:20.183295,4.354483,0.861215,-0.010754,-0.005472,0.508097,-0.158902,0.078188,0.654302
140378.0,2025-12-11T18:03:20.184271,4.355460,0.861048,-0.011894,-0.004321,0.508366,-0.057356,0.180567,0.709672
140400.0,2025-12-11T18:03:20.242602,4.413790,0.861151,-0.011394,-0.003415,0.508210,0.114592,0.178658,0.632665
140423.0,2025-12-11T18:03:20.243621,4.414810,0.861124,-0.011357,-0.003930,0.508252,0.092368,0.025097,0.455491
140447.0,2025-12-11T18:03:20.304747,4.475936,0.861064,-0.012789,-0.005573,0.508305,0.023814,0.008185,0.224159
140467.0,2025-12-11T18:03:20.305727,4.476915,0.860999,-0.013062,-0.006203,0.508401,0.138079,0.320847,0.463946
140498.0,2025-12-11T18:03:20.305727,4.476915,0.860673,-0.012625,-0.006119,0.508965,0.319734,0.561697,0.724761
140523.0,2025-12-11T18:03:20.363868,4.535057,0.860696,-0.011232,-0.004594,0.508975,-0.432440,0.561272,-0.684482
140548.0,2025-12-11T18:03:20.364868,4.536057,0.860760,-0.012517,-0.004033,0.508841,-0.035365,-0.192626,-0.113962
140574.0,2025-12-11T18:03:20.422817,4.594006,0.860379,-0.014213,-0.004369,0.509438,0.150948,-0.311568,-0.043564
140597.0,2025-12-11T18:03:20.422817,4.594006,0.860300,-0.015600,-0.004476,0.509529,-0.100423,0.778685,-0.101412
140621.0,2025-12-11T18:03:20.423812,4.595001,0.859997,-0.016412,-0.004221,0.510018,0.179228,0.956239,0.455897
140647.0,2025-12-11T18:03:20.483006,4.654194,0.859863,-0.016480,-0.003616,0.510246,0.491980,0.552526,0.768398
140667.0,2025-12-11T18:03:20.484025,4.655214,0.859872,-0.016540,-0.002905,0.510233,0.494969,0.702101,1.242560
140697.0,2025-12-11T18:03:20.542536,4.713724,0.859341,-0.017802,-0.002794,0.511086,0.581661,0.752092,1.482903
140717.0,2025-12-11T18:03:20.543534,4.714722,0.859231,-0.018078,-0.003072,0.511260,0.325939,0.808587,0.837666
140744.0,2025-12-11T18:03:20.602901,4.774090,0.859128,-0.017843,-0.002716,0.511443,0.433829,0.845336,1.000325
140772.0,2025-12-11T18:03:20.603909,4.775098,0.858511,-0.018556,-0.002025,0.512455,0.620684,0.740072,1.130100
140797.0,2025-12-11T18:03:20.605975,4.777164,0.858316,-0.018025,-0.002369,0.512799,0.907863,0.502212,1.273450
140820.0,2025-12-11T18:03:20.662105,4.833293,0.858319,-0.017227,-0.002934,0.512820,0.999302,0.268130,0.856222
140845.0,2025-12-11T18:03:20.663110,4.834299,0.858503,-0.016223,-0.003437,0.512540,0.811774,0.475473,0.498769
140870.0,2025-12-11T18:03:20.722658,4.893846,0.858684,-0.015176,-0.003711,0.512267,0.512728,0.680959,0.274229
140896.0,2025-12-11T18:03:20.722658,4.893846,0.858420,-0.015362,-0.003690,0.512705,0.474387,0.634752,0.450370
140920.0,2025-12-11T18:03:20.723837,4.895026,0.858702,-0.014280,-0.003874,0.512262,0.613537,0.370534,0.870094
140941.0,2025-12-11T18:03:20.784071,4.955260,0.858901,-0.012528,-0.003659,0.511976,0.611452,0.797530,1.455920
140966.0,2025-12-11T18:03:20.785098,4.956287,0.858942,-0.010880,-0.003497,0.511945,0.337751,0.774128,1.253959
140991.0,2025-12-11T18:03:20.843457,5.014646,0.858684,-0.010171,-0.003077,0.512395,0.371347,0.480105,1.222477
141014.0,2025-12-11T18:03:20.843457,5.014646,0.858965,-0.008479,-0.004261,0.511946,0.430098,0.553328,1.389681
141039.0,2025-12-11T18:03:20.844630,5.015819,0.859121,-0.007209,-0.006028,0.511687,0.131236,0.839471,0.719041
141066.0,2025-12-11T18:03:20.965892,5.137080,0.859121,-0.005510,-0.006821,0.511698,-0.115935,0.984034,-0.186502
141091.0,2025-12-11T18:03:20.965892,5.137080,0.858824,-0.004023,-0.006337,0.512216,-0.117834,0.818846,-0.377307
141116.0,2025-12-11T18:03:20.966886,5.138075,0.858909,-0.001167,-0.005479,0.512097,0.075075,0.151349,-0.126320
141183.0,2025-12-11T18:03:21.022445,5.193634,0.858177,0.002768,-0.003318,0.513336,-0.148412,0.138892,-0.012805
141208.0,2025-12-11T18:03:21.023818,5.195006,0.858155,0.004133,-0.001340,0.513373,-0.152803,0.022953,-0.120579
141232.0,2025-12-11T18:03:21.083797,5.254986,0.858066,0.005507,0.000984,0.513510,-0.217352,0.085382,0.025760
141257.0,2025-12-11T18:03:21.084808,5.255997,0.857823,0.005704,0.000810,0.513912,0.194422,-0.484966,0.416187
141283.0,2025-12-11T18:03:21.262099,5.433288,0.857208,0.006034,0.001105,0.514933,0.131261,-0.362920,0.185154
141309.0,2025-12-11T18:03:21.263098,5.434286,0.856981,0.005874,0.000842,0.515314,-0.050017,-0.484498,-0.265156
141334.0,2025-12-11T18:03:21.263098,5.434286,0.856968,0.005882,0.002139,0.515332,-0.251038,-0.461820,-0.575235
141354.0,2025-12-11T18:03:21.264098,5.435286,0.857108,0.005753,0.003918,0.515091,-0.152726,-0.531521,-0.464882
141480.0,2025-12-11T18:03:21.322546,5.493735,0.857678,0.008690,0.005190,0.514087,-0.155987,-0.554242,-1.157178
141504.0,2025-12-11T18:03:21.323633,5.494822,0.857721,0.008551,0.004270,0.514027,0.059859,-0.574960,-0.594567
141527.0,2025-12-11T18:03:21.382596,5.553785,0.857704,0.008355,0.003004,0.514067,0.090826,-0.534930,-0.585236
141552.0,2025-12-11T18:03:21.383630,5.554819,0.857690,0.008294,0.002115,0.514096,-0.042078,-0.426762,-1.061953
141578.0,2025-12-11T18:03:21.384599,5.555787,0.857393,0.008966,0.002486,0.514579,-0.151693,-0.391469,-1.232933
141606.0,2025-12-11T18:03:21.442588,5.613776,0.857467,0.008645,0.002498,0.514459,-0.107507,-0.690374,-1.460570
141626.0,2025-12-11T18:03:21.443589,5.614778,0.857589,0.007968,0.002080,0.514270,0.048010,-0.909497,-1.274018
141649.0,2025-12-11T18:03:21.504124,5.675313,0.857755,0.007222,0.001611,0.514006,-0.001410,-1.017948,-1.352113
141678.0,2025-12-11T18:03:21.504124,5.675313,0.857689,0.006870,0.001951,0.514120,0.016220,-0.871748,-1.195311
141701.0,2025-12-11T18:03:21.505124,5.676312,0.857827,0.005638,0.000789,0.513908,-0.035179,-0.579455,-1.065151
141727.0,2025-12-11T18:03:21.563098,5.734286,0.857883,0.003843,-0.000636,0.513831,-0.130880,-0.524114,-1.158893
141751.0,2025-12-11T18:03:21.564082,5.735271,0.857961,0.002014,-0.002138,0.513706,-0.119756,-0.554817,-1.030888
141777.0,2025-12-11T18:03:21.622789,5.793978,0.857846,0.000979,-0.002708,0.513898,-0.315304,-0.615474,-1.223694
141803.0,2025-12-11T18:03:21.623808,5.794997,0.858196,-0.000603,-0.002336,0.513317,-0.624843,-0.131579,-1.022560
141823.0,2025-12-11T18:03:21.624826,5.796015,0.858375,-0.002524,-0.001729,0.513014,-0.463556,-0.035892,-0.470439
