PLA_total_kg,reserved_mass_kg,chord_m,span_m,wing_area_m2,wing_mass_kg,feasible,total_mass_kg,Vmin_m_s,sink_rate_m_s,glide_ratio
0.8,0.36,0.02,0.79,0.0158,0.07836800000000001,True,0.438368,15.175928785974495,0.6292325137122868,24.118157366727566
0.8,0.36,0.02,0.7999999999999999,0.016,0.07936,True,0.43936,15.050431239614216,0.6201166204999324,24.270323906946235
0.8,0.36,0.02,0.8099999999999999,0.0162,0.080352,True,0.44035199999999997,14.92768282407918,0.6112506169935527,24.42154234134153
0.8,0.36,0.02,0.82,0.016399999999999998,0.081344,True,0.44134399999999996,14.807590667167267,0.6026246544178746,24.571830174241967
0.8,0.36,0.02,0.83,0.0166,0.082336,True,0.442336,14.690066111064192,0.5942293865018897,24.72120437789469
0.8,0.36,0.02,0.84,0.0168,0.08332799999999999,True,0.44332799999999994,14.575024473281616,0.5860559381587529,24.869681414837032
0.8,0.36,0.02,0.85,0.017,0.08432000000000002,True,0.44432,14.462384823808158,0.5780958764632539,25.017277259073207
0.8,0.36,0.022,0.45,0.009899999999999999,0.049104,True,0.40910399999999997,21.83310395936887,1.257983629357395,17.355634405609624
0.8,0.36,0.022,0.46,0.01012,0.05019520000000001,True,0.4101952,21.504775762550658,1.2255238464228437,17.547415193364458
0.8,0.36,0.022,0.47000000000000003,0.01034,0.0512864,True,0.4112864,21.188820707215797,1.194603054476543,17.737122492542447
0.8,0.36,0.022,0.48,0.010559999999999998,0.052377599999999996,True,0.4123776,20.88452540313836,1.1651175806868965,17.924822137544144
0.8,0.36,0.022,0.49,0.01078,0.053468800000000004,True,0.41346879999999997,20.59123129424241,1.1369727096348201,18.11057655100273
0.8,0.36,0.022,0.5,0.011,0.05456,True,0.41456,20.308329430813174,1.1100817459080043,18.294444986303002
0.8,0.36,0.022,0.51,0.011219999999999999,0.0556512,True,0.4156512,20.035255832979544,1.0843651912253323,18.476483748376058
0.8,0.36,0.022,0.52,0.01144,0.056742400000000005,True,0.4167424,19.77148736849182,1.0597500201687229,18.65674639510174
0.8,0.36,0.022,0.53,0.01166,0.0578336,True,0.41783359999999997,19.516538079105533,1.036169041071473,18.835283921360972
0.8,0.36,0.022,0.54,0.01188,0.0589248,True,0.4189248,19.26995589933562,1.0135603306616914,19.01214492753031
0.8,0.36,0.022,0.55,0.0121,0.060016,True,0.420016,19.031319719290643,0.9918667327651178,19.187375773996663
0.8,0.36,0.022,0.56,0.012320000000000001,0.0611072,True,0.4211072,18.80023674999762,0.9710354127962976,19.36102072308408
0.8,0.36,0.022,0.57,0.012539999999999999,0.062198399999999994,True,0.4221984,18.576340155297434,0.9510174609611246,19.533122069623907
0.8,0.36,0.022,0.58,0.012759999999999999,0.0632896,True,0.4232896,18.35928691920304,0.9317675380978806,19.70372026125944
0.8,0.36,0.022,0.59,0.012979999999999998,0.0643808,True,0.4243808,18.148755921709224,0.9132435589309266,19.872854009454787
0.8,0.36,0.022,0.6,0.013199999999999998,0.06547199999999999,True,0.42547199999999996,17.944446199540504,0.8954064082279994,20.04056039207089
0.8,0.36,0.022,0.61,0.01342,0.0665632,True,0.4265632,17.746075371318568,0.8782196859604037,20.206874948278816
0.8,0.36,0.022,0.62,0.01364,0.0676544,True,0.4276544,17.55337820920182,0.8616494780831843,20.37183176649845
0.8,0.36,0.022,0.63,0.013859999999999999,0.0687456,True,0.4287456,17.36610534126285,0.8456641499943129,20.53546356597904
0.8,0.36,0.022,0.64,0.014079999999999999,0.06983679999999999,True,0.42983679999999996,17.184022070779527,0.8302341601101368,20.697801772574543
0.8,0.36,0.022,0.6499999999999999,0.014299999999999997,0.07092799999999999,True,0.430928,17.00690730026773,0.8153318913188495,20.858876589210823
0.8,0.36,0.022,0.6599999999999999,0.014519999999999998,0.07201919999999999,True,0.4320192,16.834552549516285,0.8009314983528835,21.01871706149223
0.8,0.36,0.022,0.6699999999999999,0.014739999999999998,0.07311039999999999,True,0.4331104,16.666761058129964,0.7870087693617988,21.177351138851193
0.8,0.36,0.022,0.6799999999999999,0.014959999999999998,0.07420159999999999,True,0.43420159999999997,16.503346964170934,0.7735410001752638,21.334805731605325
0.8,0.36,0.022,0.69,0.015179999999999997,0.07529279999999998,True,0.4352928,16.3441345514358,0.760506879925906,21.49110676425197
0.8,0.36,0.022,0.7,0.015399999999999999,0.076384,True,0.436384,16.188957558733435,0.7478863868582368,21.646279225299068
0.8,0.36,0.022,0.71,0.015619999999999998,0.0774752,True,0.43747519999999995,16.037658545254867,0.7356606932859576,21.80034721390353
0.8,0.36,0.022,0.72,0.01584,0.07856640000000001,True,0.4385664,15.89008830676368,0.7238120787785828,21.953333983563606
0.8,0.36,0.022,0.73,0.016059999999999998,0.0796576,True,0.4396576,15.746105337896475,0.7123238507619661,22.105261983089594
0.8,0.36,0.022,0.74,0.01628,0.0807488,True,0.4407488,15.605575336357287,0.7011802718080299,22.256152895057213
0.8,0.36,0.022,0.75,0.0165,0.08184000000000001,True,0.44184,15.468370745226483,0.6903664929685395,22.406027671930175
0.8,0.36,0.022,0.76,0.01672,0.0829312,True,0.44293119999999997,15.334370329990934,0.6798684925776542,22.554906570022364
0.8,0.36,0.022,0.77,0.01694,0.0840224,True,0.4440224,15.203458787244475,0.6696730200094928,22.702809181455393
0.8,0.36,0.022,0.78,0.017159999999999998,0.0851136,True,0.4451136,15.075526382311539,0.6597675439311761,22.849754464254378
0.8,0.36,0.022,0.79,0.01738,0.0862048,True,0.44620479999999996,14.950468613316865,0.6501402046397048,22.99576077071272
0.8,0.36,0.022,0.7999999999999999,0.017599999999999998,0.08729599999999998,True,0.44729599999999997,14.828185899464692,0.6407797701133868,23.14084587414616
0.8,0.36,0.022,0.8099999999999999,0.01782,0.0883872,True,0.4483872,14.70858329150527,0.6316755954460724,23.28502699414636
