mass_kg,c_upper_m,c_lower_m,span_m,total_chord_m,wing_area_m2,Vstall_m_s
0.1,0.0055,0.0165,1.15,0.022,0.019870573533955438,8.415988335309155
0.1,0.0055,0.0165,1.175,0.022,0.020302542523824036,8.32597517687964
0.1,0.0055,0.0165,1.2000000000000002,0.022,0.020734511513692634,8.238789788204572
0.1,0.0055,0.0165,1.225,0.022,0.021166480503561232,8.154287146314255
0.1,0.0055,0.0165,1.25,0.022,0.021598449493429827,8.072332431661557
0.1,0.0055,0.0165,1.275,0.022,0.02203041848329842,7.992800123300613
0.1,0.0055,0.0165,1.3,0.022,0.02246238747316702,7.915573190240417
0.1,0.0055,0.0165,1.3250000000000002,0.022,0.022894356463035618,7.840542367120906
0.1,0.0055,0.0165,1.35,0.022,0.023326325452904213,7.767605504013243
0.1,0.0055,0.0165,1.375,0.022,0.023758294442772807,7.6966669815431965
0.1,0.0055,0.0165,1.4,0.022,0.024190263432641405,7.627637183720635
0.1,0.0055,0.0165,1.425,0.022,0.024622232422510004,7.560432021864968
0.1,0.0055,0.0165,1.4500000000000002,0.022,0.025054201412378605,7.494972503874879
0.1,0.0055,0.0165,1.475,0.022,0.025486170402247196,7.431184343825081
0.1,0.0055,0.0165,1.5,0.022,0.02591813939211579,7.368997607502608
0.1,0.006,0.018000000000000002,0.5,0.024,0.00942477796076938,12.220100072556388
0.1,0.006,0.018000000000000002,0.525,0.024,0.009896016858807848,11.925596552246155
0.1,0.006,0.018000000000000002,0.55,0.024,0.010367255756846319,11.651408256019865
0.1,0.006,0.018000000000000002,0.575,0.024,0.010838494654884786,11.395302074836641
0.1,0.006,0.018000000000000002,0.6,0.024,0.011309733552923255,11.155374107849418
0.1,0.006,0.018000000000000002,0.625,0.024,0.011780972450961725,10.929989781634479
0.1,0.006,0.018000000000000002,0.65,0.024,0.012252211349000194,10.71773676536999
0.1,0.006,0.018000000000000002,0.675,0.024,0.012723450247038663,10.517387571110875
0.1,0.006,0.018000000000000002,0.7,0.024,0.013194689145077132,10.327869569529286
0.1,0.006,0.018000000000000002,0.725,0.024,0.0136659280431156,10.14824074386168
0.1,0.006,0.018000000000000002,0.75,0.024,0.01413716694115407,9.977669927836947
0.1,0.006,0.018000000000000002,0.775,0.024,0.014608405839192538,9.81542057940012
0.1,0.006,0.018000000000000002,0.8,0.024,0.015079644737231007,9.660837366116766
0.1,0.006,0.018000000000000002,0.825,0.024,0.015550883635269476,9.5133350040333
0.1,0.006,0.018000000000000002,0.8500000000000001,0.024,0.016022122533307946,9.372388915861961
0.1,0.006,0.018000000000000002,0.875,0.024,0.016493361431346415,9.237527368087589
0.1,0.006,0.018000000000000002,0.9,0.024,0.016964600329384884,9.108324818028732
0.1,0.006,0.018000000000000002,0.925,0.024,0.017435839227423353,8.984396256793058
0.1,0.006,0.018000000000000002,0.95,0.024,0.01790707812546182,8.865392376607291
0.1,0.006,0.018000000000000002,0.9750000000000001,0.024,0.018378317023500294,8.750995424207982
0.1,0.006,0.018000000000000002,1.0,0.024,0.01884955592153876,8.640915628082844
0.1,0.006,0.018000000000000002,1.025,0.024,0.019320794819577224,8.534888108009403
0.1,0.006,0.018000000000000002,1.05,0.024,0.019792033717615697,8.432670191788167
0.1,0.006,0.018000000000000002,1.0750000000000002,0.024,0.02026327261565417,8.33403907724618
0.1,0.006,0.018000000000000002,1.1,0.024,0.020734511513692638,8.23878978820457
0.1,0.006,0.018000000000000002,1.125,0.024,0.021205750411731103,8.146733381704259
0.1,0.006,0.018000000000000002,1.15,0.024,0.021676989309769572,8.057695370786123
0.1,0.006,0.018000000000000002,1.175,0.024,0.02214822820780804,7.971514332850939
0.1,0.006,0.018000000000000002,1.2000000000000002,0.024,0.022619467105846513,7.888040678333156
0.1,0.006,0.018000000000000002,1.225,0.024,0.02309070600388498,7.807135558310342
0.1,0.006,0.018000000000000002,1.25,0.024,0.02356194490192345,7.728669892893412
0.1,0.006,0.018000000000000002,1.275,0.024,0.024033183799961916,7.652523504926209
0.1,0.006,0.018000000000000002,1.3,0.024,0.024504422698000388,7.578584345765493
0.1,0.006,0.018000000000000002,1.3250000000000002,0.024,0.024975661596038857,7.506747801793602
0.1,0.006,0.018000000000000002,1.35,0.024,0.025446900494077326,7.436916071899613
0.1,0.006,0.018000000000000002,1.375,0.024,0.02591813939211579,7.368997607502608
